ACQUEDOTTO;COMUNE;ETICHETTA
ACQUEDOTTO DI CASTELNUOVO VAL DI CECINA;CASTELNUOVO VAL DI CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ016.pdf
ACQUEDOTTO DI CAVO;RIO MARINA;http://www.datiopen.it/asa_qualita_acque/ACQ049.pdf
ACQUEDOTTO DI CAVOLI-CHIESSI;CAMPO NELL'ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ023.pdf
ACQUEDOTTO DI CECINA;CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ019.pdf
ACQUEDOTTO DI COLLEMEZZANO;CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ074.pdf
ACQUEDOTTO DI COLLESALVETTI;COLLESALVETTI;http://www.datiopen.it/asa_qualita_acque/ACQ020-DEF.pdf
ACQUEDOTTO DI COLLESALVETTI;COLLESALVETTI;http://www.datiopen.it/asa_qualita_acque/ACQ081.pdf
ACQUEDOTTO DI COLOGNOLE;COLLESALVETTI;http://www.datiopen.it/asa_qualita_acque/ACQ082.pdf
ACQUEDOTTO DI GUARDISTALLO;GUARDISTALLO;http://www.datiopen.it/asa_qualita_acque/ACQ021.pdf
ACQUEDOTTO DI LA CALIFORNIA;BIBBONA;http://www.datiopen.it/asa_qualita_acque/ACQ003.pdf
ACQUEDOTTO DI LIBBIANO;POMARANCE;http://www.datiopen.it/asa_qualita_acque/ACQ038.pdf
ACQUEDOTTO DI LIVORNO;LIVORNO;http://www.datiopen.it/asa_qualita_acque/ACQ022_N.pdf
ACQUEDOTTO DI LIVORNO;LIVORNO;http://www.datiopen.it/asa_qualita_acque/ACQ022_S.pdf
ACQUEDOTTO DI MARCIANA;MARCIANA;http://www.datiopen.it/asa_qualita_acque/ACQ024.pdf
ACQUEDOTTO DI MARCIANA MARINA;MARCIANA MARINA;http://www.datiopen.it/asa_qualita_acque/ACQ025.pdf
ACQUEDOTTO DI MARINA DI BIBBONA;BIBBONA;http://www.datiopen.it/asa_qualita_acque/ACQ002.pdf
ACQUEDOTTO DI MARINA DI CASTAGNETO;CASTAGNETO CARDUCCI;http://www.datiopen.it/asa_qualita_acque/ACQ098.pdf
ACQUEDOTTO DI MICCIANO;POMARANCE;http://www.datiopen.it/asa_qualita_acque/ACQ039.pdf
ACQUEDOTTO DI MIEMO;RIPARBELLA;http://www.datiopen.it/asa_qualita_acque/ACQ088.pdf
ACQUEDOTTO DI MONTECASTELLI-SARACILIERI;CASTELNUOVO VAL DI CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ017.pdf
ACQUEDOTTO DI MONTECATINI VAL DI CECINA;MONTECATINI VAL DI CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ027.pdf
ACQUEDOTTO DI MONTECERBOLI;POMARANCE;http://www.datiopen.it/asa_qualita_acque/ACQ040.pdf
ACQUEDOTTO DI MONTESCUDAIO-MEZZAVIA;MONTESCUDAIO;http://www.datiopen.it/asa_qualita_acque/ACQ030.pdf
ACQUEDOTTO DI MONTEVERDI MARITTIMO;MONTEVERDI MARITTIMO;http://www.datiopen.it/asa_qualita_acque/ACQ031.pdf
ACQUEDOTTO DI ORCIANO PISANO;ORCIANO PISANO;http://www.datiopen.it/asa_qualita_acque/ACQ032.pdf
ACQUEDOTTO DI PIOMBINO;PIOMBINO;http://www.datiopen.it/asa_qualita_acque/ACQ033.pdf
ACQUEDOTTO DI POGGIO GAGLIARDO;MONTESCUDAIO;http://www.datiopen.it/asa_qualita_acque/ACQ089.pdf
ACQUEDOTTO DI POMARANCE;POMARANCE;http://www.datiopen.it/asa_qualita_acque/ACQ041.pdf
ACQUEDOTTO DI PONTEGINORI-GELLO;MONTECATINI VAL DI CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ026.pdf
ACQUEDOTTO DI PORTO AZZURRO-CAPOLIVERI;CAPOLIVERI;http://www.datiopen.it/asa_qualita_acque/ACQ010-capoliveri.pdf
ACQUEDOTTO DI PORTO AZZURRO-CAPOLIVERI;CAPOLIVERI;http://www.datiopen.it/asa_qualita_acque/ACQ010-p_azzurro.pdf
ACQUEDOTTO DI PORTOFERRAIO;PORTOFERRAIO;http://www.datiopen.it/asa_qualita_acque/ACQ046-Portoferraio.pdf
ACQUEDOTTO DI QUERCETO;MONTECATINI VAL DI CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ028.pdf
ACQUEDOTTO DI RADICONDOLI;RADICONDOLI;http://www.datiopen.it/asa_qualita_acque/ACQ048.pdf
ACQUEDOTTO DI RIO MARINA;RIO MARINA;http://www.datiopen.it/asa_qualita_acque/ACQ050-RIO.pdf
ACQUEDOTTO DI RIO MARINA;RIO NELL'ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ050-NISPORTINO.pdf
ACQUEDOTTO DI RIO MARINA;RIO NELL'ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ050-NISPORTO.pdf
ACQUEDOTTO DI RIO NELL'ELBA;RIO NELL'ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ051-Portoferraio.pdf
ACQUEDOTTO DI RIO NELL'ELBA;RIO NELL'ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ051-RIO.pdf
ACQUEDOTTO DI RIOTORTO FRANCIANA;PIOMBINO;http://www.datiopen.it/asa_qualita_acque/ACQ084.pdf
ACQUEDOTTO DI RIPARBELLA;RIPARBELLA;http://www.datiopen.it/asa_qualita_acque/ACQ052.pdf
ACQUEDOTTO DI ROSIGNANO MARITTIMO;ROSIGNANO MARITTIMO;http://www.datiopen.it/asa_qualita_acque/ACQ053.pdf
ACQUEDOTTO DI SALINE;VOLTERRA;http://www.datiopen.it/asa_qualita_acque/ACQ070.pdf
ACQUEDOTTO DI SAN DALMAZIO;POMARANCE;http://www.datiopen.it/asa_qualita_acque/ACQ042.pdf
ACQUEDOTTO DI SAN LORENZO;SUVERETO;http://www.datiopen.it/asa_qualita_acque/ACQ077.pdf
ACQUEDOTTO DI SAN PIERO-S.ILARIO;CAMPO NELL'ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ008.pdf
ACQUEDOTTO DI SANTA LUCE;SANTA LUCE;http://www.datiopen.it/asa_qualita_acque/ACQ056-SLuce.pdf
ACQUEDOTTO DI SAN VINCENZO;SAN VINCENZO;http://www.datiopen.it/asa_qualita_acque/ACQ054.pdf
ACQUEDOTTO DI SASSETTA;SASSETTA;http://www.datiopen.it/asa_qualita_acque/ACQ058.pdf
ACQUEDOTTO DI SASSO PISANO;CASTELNUOVO VAL DI CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ018.pdf
ACQUEDOTTO DI SERRAZZANO-LUSTIGNANO;POMARANCE;http://www.datiopen.it/asa_qualita_acque/ACQ044.pdf
ACQUEDOTTO DI S.PIETRO IN PALAZZI;CECINA;http://www.datiopen.it/asa_qualita_acque/ACQ093.pdf
ACQUEDOTTO DI SUVERETO;SUVERETO;http://www.datiopen.it/asa_qualita_acque/ACQ059.pdf
ACQUEDOTTO DI VILLAMAGNA;VOLTERRA;http://www.datiopen.it/asa_qualita_acque/ACQ072.pdf
ACQUEDOTTO DI VOLTERRA;VOLTERRA;http://www.datiopen.it/asa_qualita_acque/ACQ073.pdf
ACQUEDOTTO PODERE ALBERTO CAPANNE;CASTAGNETO CARDUCCI;http://www.datiopen.it/asa_qualita_acque/ACQ099.pdf
ACQUEDOTTO POGGIO MARCIANA;MARCIANA;http://www.datiopen.it/asa_qualita_acque/ACQ079.pdf
CAMPIGLIA MARITTIMA;CAMPIGLIA MARITTIMA;http://www.datiopen.it/asa_qualita_acque/ACQ006.pdf
